S.No,name,male,book1,book2,book3,book4,book5,isNoble,numDeadRelations,isPopular,isAlive,age,popularity
178,Sylas,0,0,1,0,0,0,0,0,0,0,,0.006688963
179,Symon Stripeback,1,0,0,0,0,1,0,0,0,1,,0.043478261
180,Symond Botley,1,0,0,0,1,0,0,0,0,1,,0.046822742
181,Tagganaro,1,0,0,0,1,0,0,0,0,1,,0.030100334
182,Tal Toraq,1,0,0,0,0,1,0,0,0,1,,0.023411371
183,Talea,0,0,0,0,1,0,0,0,0,1,,0.02006689
184,Talla Tarly,1,0,0,1,0,0,0,0,0,1,,0.070234114
185,Tansy,0,0,0,1,1,0,0,0,0,1,,0.023411371
186,Tansy (orphan),0,0,0,0,1,0,0,0,0,1,,0.006688963
187,Tarber,1,0,1,0,0,0,0,0,0,1,,0.033444816
188,Terrance Lynderly,0,0,0,0,1,0,0,0,0,1,,0.016722408
189,Terro,1,0,0,0,1,0,0,0,0,1,,0.013377926
190,Theo Frey,1,1,0,0,0,0,1,0,0,1,,0.013377926
191,Theobald,1,0,0,0,1,0,1,0,0,1,,0.02006689
192,Thistle,0,0,0,0,0,1,0,0,0,0,,0.016722408
193,Theon Stark,1,0,0,0,0,0,0,0,0,1,,0.056856187
194,Thormor Ironmaker,1,0,0,0,1,0,0,0,0,1,,0.016722408
195,Tim Stone,0,0,0,1,1,1,0,0,0,1,,0.016722408
196,Timon,0,0,1,1,0,0,1,0,0,1,,0.006688963
197,Timett (father),0,1,1,0,0,1,0,0,0,1,,0.013377926
198,Timoth,1,0,0,0,1,0,0,0,0,1,,0.006688963
199,Tobbot,0,0,1,0,0,0,0,0,0,1,,0.010033445
200,Toefinger,1,0,0,1,1,0,0,0,0,1,,0.006688963
201,Todric,1,0,1,0,0,0,0,0,0,0,,0.016722408
202,Tom Costayne,0,0,0,0,1,0,1,0,0,1,,0.006688963
203,TomToo,0,0,1,0,0,0,0,0,0,1,,0.013377926
204,Tommard Heddle,1,0,0,0,0,0,1,0,0,0,,0.046822742
205,Toregg,1,0,0,1,1,1,0,0,0,1,,0.026755853
206,Torrek,0,1,0,0,0,0,0,0,0,1,,0
207,Tothmure,1,0,1,0,0,0,1,0,0,0,,0.013377926
208,Torrhen Stark,1,0,0,0,0,0,0,0,0,1,,0.090301003
209,Tregar,0,1,0,0,0,0,0,0,0,0,,0.006688963
210,Tregar Ormollen,1,0,1,0,1,0,0,0,0,1,,0.023411371
211,Tristan Ryger,0,0,0,1,0,0,0,0,0,1,,0.006688963
212,Tristifer V Mudd,1,0,0,0,0,0,0,0,0,1,,0.016722408
213,Tristimun,1,0,0,1,0,0,1,0,0,1,,0
214,Tristifer IV Mudd,1,0,0,0,0,0,0,0,0,0,,0.053511706
215,Tuffleberry,0,0,1,0,0,0,0,0,0,1,,0.003344482
216,Tumberjon,0,0,0,1,0,0,0,0,0,1,,0.010033445
217,Tumco Lho,1,0,0,0,0,1,1,0,0,1,,0.030100334
218,Turnip,0,0,1,0,1,0,0,0,0,1,,0.016722408
219,Turquin,1,0,0,1,0,0,1,0,0,1,,0.003344482
220,Tybero Istarion,1,0,0,0,0,1,0,0,0,1,,0.013377926
221,Tymor,1,0,1,0,0,0,0,0,0,1,,0.006688963
222,Ulf the Ill,0,0,1,0,0,0,0,0,0,0,,0.013377926
223,Tywin Frey (son of Raymund),1,0,0,0,1,0,0,0,0,1,6,0.133779264
224,Uller,1,0,1,1,1,0,0,0,0,1,,0.023411371
225,Umar,0,1,0,0,0,0,0,0,0,1,,0.006688963
226,Umfred,0,0,0,1,0,0,0,0,0,1,,0.003344482
227,Umma,0,0,0,0,1,0,0,0,0,1,,0.016722408
228,Urreg,0,0,1,0,0,0,0,0,0,1,,0.010033445
229,Urek Ironmaker,1,0,0,0,1,0,0,0,0,1,,0.016722408
230,Urrathon,0,0,1,0,0,0,0,0,0,1,,0.013377926
231,Urzen,1,0,1,1,0,0,0,0,0,1,,0.02006689
232,Urron Greyiron,1,0,0,0,0,0,0,0,0,1,,0.040133779
233,Urrigon Greyjoy,1,0,0,0,1,0,0,0,0,1,37,0.073578595
234,Uthor Underleaf,1,0,0,0,0,0,1,0,0,0,100,0.050167224
235,Utt,1,0,1,1,0,0,0,0,0,0,,0.023411371
236,Vaellyn,1,0,0,0,1,0,1,0,0,1,,0.013377926
237,Varly,0,1,0,0,0,0,0,0,0,0,,0.016722408
238,Veiled Lady,0,0,0,0,1,0,0,0,0,1,,0.010033445
239,Vickon Botley,1,0,0,0,1,0,0,0,0,1,,0.046822742
240,Violet,0,0,0,1,0,0,0,0,0,1,,0
241,Victor Tyrell,0,0,0,1,1,0,1,0,0,1,,0.123745819
242,Walda Frey (daughter of Lothar),0,0,1,1,1,0,0,0,0,1,11,0.086956522
243,Walda Frey (daughter of Edwyn),0,0,1,1,1,0,0,0,0,1,15,0.10367893
244,Walda Frey (daughter of Rhaegar),0,0,0,0,0,0,0,0,0,1,17,0
245,Walda Frey (daughter of Walton),0,0,0,0,0,0,0,0,0,1,25,0
246,Walda Frey (daughter of Merrett),0,0,0,0,0,0,0,0,0,1,22,0
247,Walda Rivers (daughter of Aemon),0,0,0,1,0,0,0,0,0,1,10,0.026755853
248,Walder Frey (son of Jammos),1,0,0,0,0,0,0,0,0,1,14,0
249,Walder Frey (son of Emmon),0,0,0,0,0,0,0,0,0,1,20,0
250,Walder Frey (son of Ryman),1,0,0,0,0,0,0,0,0,1,45,0
251,Walder Frey (son of Merrett),1,0,0,0,0,0,0,0,0,0,9,0
252,Wallen,0,1,0,0,0,0,0,0,0,0,,0.02006689
253,Walton,1,0,1,1,1,1,0,0,0,1,,0.046822742
254,Walys Flowers,1,0,0,0,0,1,1,0,0,0,,0.023411371
255,Wat (Barleycorn),1,0,0,0,0,0,0,0,0,1,,0.006688963
256,Blue Bard,1,0,0,0,1,1,0,0,0,1,,0.053511706
257,Wat (orphan),0,0,0,0,1,0,0,0,0,1,,0.003344482
258,Wat (sailor),0,0,0,0,1,0,0,0,0,1,,0.006688963
259,Wat (Standfast),0,0,0,0,0,0,0,0,0,1,,0.003344482
260,Wat (Wet),1,0,0,0,0,0,0,0,0,1,,0.006688963
261,Wate,0,0,0,0,0,0,0,0,0,1,,0
262,Watt,1,0,0,1,0,0,0,0,0,0,,0.016722408
263,Wayn (guard),1,1,0,0,0,0,0,0,0,1,,0.010033445
264,Weasel,1,0,1,0,0,0,0,0,0,1,9,0.016722408
265,Wendell Webber,1,0,0,0,0,0,1,0,0,1,,0.013377926
266,Wendello Qar Deeth,0,0,1,0,0,0,0,0,0,1,,0.010033445
267,Werlag,0,0,1,0,0,0,0,0,0,1,,0.006688963
268,Rafford,1,0,1,1,1,1,0,0,0,0,,0.096989967
269,Jhogo,0,1,1,1,1,1,0,0,0,1,24,0.200668896
270,Sour Alyn,1,0,0,0,0,1,0,0,0,1,,0.043478261
271,Tobho Mott,1,1,1,1,1,1,0,0,0,1,,0.08361204
272,Zollo,1,0,0,1,1,0,0,0,0,1,,0.036789298
273,Tanda Stokeworth,0,1,1,1,1,1,1,1,0,0,,0.113712375
274,Samwell Tarly,1,1,1,1,1,1,0,0,1,1,22,0.969899666
275,Abelar Hightower,1,0,0,0,0,0,1,0,0,1,,0
276,Addam Frey,1,0,0,0,0,0,1,0,0,1,,0.026755853
277,Addam,1,0,0,0,0,0,1,0,0,1,,0.006688963
278,Addam Osgrey,1,0,0,0,0,0,0,0,0,0,13,0.036789298
279,Aegon Frey (son of Aenys),1,0,0,0,0,0,0,0,0,1,52,0
280,Aegon Frey (son of Stevron),1,0,0,0,0,0,0,0,0,0,50,0
281,Aegon I Targaryen,1,0,0,0,0,0,0,6,1,0,,1
282,Aegon II Targaryen,1,0,0,0,0,0,0,7,1,0,,0.759197324
283,Aegon IV Targaryen,1,0,0,0,0,0,0,15,1,0,,0.675585284
284,Aegon Targaryen (son of Baelon),1,0,0,0,0,0,1,0,0,1,,0
285,Aegon III Targaryen,1,0,0,0,0,0,0,8,1,0,,0.62541806
286,Aegon Targaryen (son of Jaehaerys I),0,0,0,0,0,0,1,0,0,0,100,0
287,Aegon Targaryen (son of Aenys I),1,0,0,0,0,0,1,0,0,0,17,0
288,Aegon Targaryen (son of Rhaegar),1,0,0,0,0,0,0,0,0,0,2,0
289,Aemon Costayne,1,0,0,1,0,0,0,0,0,1,,0.010033445
290,Aenys I Targaryen,1,0,0,0,0,0,0,5,1,0,,0.571906355
291,Aethan,0,0,0,1,0,0,0,0,0,1,,0.010033445
292,Aethelmure,0,1,0,0,0,0,1,0,0,1,,0.013377926
293,Aggar,1,0,1,0,0,1,0,0,0,0,,0.026755853
294,Agrivane,0,0,0,0,1,0,1,0,0,1,,0.006688963
295,Aerys I Targaryen,1,0,0,0,0,0,0,3,1,0,,0.622073579
296,Alaric of Eysen,0,0,0,1,1,0,0,0,0,1,,0.016722408
297,Aerys II Targaryen,1,0,0,0,0,0,0,10,1,0,,1
298,Alebelly,1,0,1,0,0,0,0,0,0,0,,0.030100334
299,Alequo Adarys,1,0,0,0,0,0,0,0,0,0,,0.013377926
300,Alester Oakheart,1,0,0,0,1,0,0,0,0,1,,0.016722408
301,Alia,0,0,0,0,0,0,0,0,0,1,,0
302,All-for-Joffrey,1,0,1,0,0,0,0,0,0,0,,0.006688963
303,Allaquo,1,0,0,0,1,0,0,0,0,1,,0.02006689
304,Allyria Dayne,0,0,0,1,0,0,0,0,0,1,,0.023411371
305,Alicent Hightower,0,0,0,0,0,0,1,4,0,0,45,0.267558528
306,Alyce,1,0,0,1,1,0,0,0,0,1,,0.006688963
307,Alvyn Sharp,1,0,0,0,1,0,0,0,0,1,,0.010033445
308,Alyn Hunt,1,0,0,0,1,0,1,0,0,1,,0.013377926
309,Alys Arryn,0,0,0,0,1,0,0,1,0,1,,0.080267559
310,Alysanne Bracken,0,0,0,0,0,1,0,0,0,1,,0.033444816
311,Alyn Velaryon,1,0,0,0,1,1,1,0,0,0,56,0.160535117
312,Alysanne Osgrey,0,0,0,0,0,0,0,0,0,0,21,0.026755853
313,Alyssa Arryn,0,1,0,0,0,0,0,0,0,1,,0.006688963
314,Alysanne Hightower,0,0,0,0,1,0,0,0,0,1,,0.056856187
315,Amabel,0,0,1,1,0,0,0,0,0,1,,0.003344482
316,Ambrode,0,0,1,0,0,0,0,0,0,1,,0.003344482
317,Andrey Dalt,0,0,0,0,1,0,1,0,0,1,,0.036789298
318,Andrey Charlton,1,0,1,0,0,0,1,0,0,0,,0.013377926
319,Argrave the Defiant,1,0,0,0,0,0,1,0,0,1,,0.013377926
320,Armen,1,0,0,0,1,0,0,0,0,1,,0.030100334
321,Arneld,1,0,1,0,0,0,1,0,0,1,,0.003344482
322,Arnell,1,0,1,0,0,0,1,0,0,1,,0.006688963
323,Arrec Durrandon,1,0,0,0,0,0,0,0,0,1,,0
324,Arron,1,0,0,1,1,1,0,0,0,1,,0.043478261
325,Arryk (guard),0,0,0,0,0,0,0,0,0,1,,0
326,Arron Qorgyle,1,0,0,1,1,0,1,0,0,1,,0.023411371
327,Arson,1,0,0,1,0,0,0,0,0,1,,0
328,Aubrey Ambrose,1,0,0,0,0,0,1,0,0,1,,0.006688963
329,Ayrmidon,0,1,0,0,0,0,0,0,0,1,,0.006688963
330,Baelon Targaryen (son of Viserys I),1,0,0,0,0,0,1,0,0,0,0,0.100334448
331,Baelon Targaryen (son of Aerys),0,0,0,0,0,0,1,0,0,1,,0.043478261
332,Balon Botley,1,0,0,0,1,0,0,0,0,1,,0.050167224
333,Baelor Targaryen (son of Daeron II),1,0,0,1,0,0,1,3,1,0,39,0.474916388
334,Bandy,0,0,1,0,1,0,0,0,0,1,,0.02006689
335,Bannen,1,0,1,1,0,0,0,0,0,0,,0.033444816
336,Barre,1,0,1,0,0,0,0,0,0,1,,0.013377926
337,Barbara Bracken,0,0,0,0,0,1,0,0,0,1,,0.030100334
338,Barth (brewer),1,0,1,0,0,0,0,0,0,1,,0.003344482
339,Bass,0,1,0,0,0,0,0,0,0,1,,0
340,Bearded Ben,1,0,0,0,1,1,0,0,0,1,,0.023411371
341,Becca,1,1,0,0,0,0,0,0,0,1,,0.003344482
342,Beck,1,0,0,1,0,0,1,0,0,1,6,0
343,Belandra,0,0,0,0,1,0,0,0,0,1,,0.006688963
344,Beldecar,0,0,0,1,0,0,0,0,0,1,,0.006688963
345,Belis,1,0,0,1,0,0,1,0,0,1,,0.02006689
346,Bellonara Otherys,0,0,0,0,1,0,0,0,0,1,,0.013377926
347,Bella,0,0,0,1,1,0,0,0,0,1,22,0.08361204
348,Ben,1,0,0,0,1,0,0,0,0,1,12,0.010033445
349,Ben Blackthumb,1,0,1,0,1,0,0,0,0,1,,0.026755853
350,Ben Bones,1,0,0,0,0,1,0,0,0,1,,0.033444816
351,Ben Bushy,0,0,0,0,1,0,1,0,0,0,,0.023411371
352,Benedict,0,0,0,0,1,0,1,0,0,1,,0.013377926
353,Benjen Stark (Bitter),1,0,1,0,0,0,0,0,0,1,,0.013377926
354,Benjen Stark (Sweet),1,0,1,0,0,0,0,0,0,1,,0.013377926
355,Bennet,0,0,0,0,1,0,0,0,0,1,,0.006688963
356,Bennis,1,0,0,0,0,0,1,0,0,1,,0.036789298
357,Beqqo,0,0,0,0,1,0,0,0,0,1,,0.003344482
358,Bennarion Botley,1,0,0,0,1,0,0,0,0,1,,0.046822742
359,Beron Blacktyde,0,0,0,0,1,1,0,0,0,1,,0.016722408
360,Bertram Beesbury,1,0,0,1,0,0,1,0,0,1,,0.003344482
361,Bessa,1,0,0,1,0,0,0,0,0,1,,0.006688963
362,Bessa (Winterfell),0,1,0,0,0,0,0,0,0,1,,0.003344482
363,Bess Bracken,0,0,0,0,0,1,0,0,0,1,,0.030100334
364,Bethany (Blushing Bethany),0,0,0,0,1,0,0,0,0,1,,0.016722408
365,Bethany Fair-Fingers,0,0,0,1,0,0,0,0,0,1,,0.006688963
366,Bharbo,0,1,0,0,0,0,0,2,0,1,,0.003344482
367,Big Boil,1,0,0,1,1,0,0,0,0,1,,0.006688963
368,Blind Doss,0,0,0,0,0,0,0,0,0,1,,0
369,Blane,1,0,1,1,0,0,0,0,0,1,,0.02006689
370,Bodger,0,0,0,1,1,0,0,0,0,1,,0.006688963
371,Borcas,1,1,0,0,0,0,0,0,0,1,,0
372,Bors,1,0,0,0,1,0,0,0,0,1,,0.006688963
373,Borroq,1,0,0,0,0,1,0,0,0,1,,0.026755853
374,Boy,1,0,0,1,1,0,0,0,0,1,21,0.010033445
375,Brandon Stark (Bad),1,0,1,0,0,0,1,0,0,1,,0.016722408
376,Brandon Stark (Burner),1,1,1,0,0,0,0,0,0,1,,0.033444816
377,Brandon Stark (the daughterless),1,0,1,0,0,0,1,0,0,1,,0.033444816
